Points,Data
2.333268,-0.956176952
2.361045,-0.955337898
2.388822,-0.954583321
2.416599,-0.954029167
2.444376,-0.953650075
2.472153,-0.953340255
2.49993,-0.952992983
2.527707,-0.952516421
2.555484,-0.95193189
2.583261,-0.951312709
2.611038,-0.950732471
2.638815,-0.950252456
2.666592,-0.949860709
2.694369,-0.9495183
2.722146,-0.949186259
2.749923,-0.948832255
2.7777,-0.948455108
2.805477,-0.948062771
2.833254,-0.947663196
2.861031,-0.947264193
2.888808,-0.946873045
2.916585,-0.946496915
2.944362,-0.946142953
2.972139,-0.945808569
2.999916,-0.945462436
3.027693,-0.945067959
3.05547,-0.944588642
3.083247,-0.944015414
3.111024,-0.943403852
3.138801,-0.942818839
3.166578,-0.942324861
3.194355,-0.941941787
3.222132,-0.941604815
3.249909,-0.941239681
3.277686,-0.940773123
3.305463,-0.940190612
3.33324,-0.93956795
3.361017,-0.938988628
3.388794,-0.938533835
3.416571,-0.93820229
3.444348,-0.937889489
3.472125,-0.937484409
3.499902,-0.936880959
3.527679,-0.936090933
3.555456,-0.935246487
3.583233,-0.934485208
3.61101,-0.933936063
3.638787,-0.933582236
3.666564,-0.93328546
3.694341,-0.93290376
3.722118,-0.932307615
3.749895,-0.931522689
3.777672,-0.930679937
3.805449,-0.929912317
3.833226,-0.929338432
3.861003,-0.928941218
3.88878,-0.928628944
3.916557,-0.928309107
3.944334,-0.92790484
3.972111,-0.927453574
3.999888,-0.927043466
4.027665,-0.926762901
4.055442,-0.926660389
4.083219,-0.926556121
4.110996,-0.926189156
4.138773,-0.92529846
4.16655,-0.923725449
4.194327,-0.921774693
4.222104,-0.919881573
4.249881,-0.91848147
4.277658,-0.91787274
4.305435,-0.917863331
4.333212,-0.918151518
4.360989,-0.918435641
4.388766,-0.918467921
4.416543,-0.918153832
4.44432,-0.917425911
4.472097,-0.916217283
4.499874,-0.914598443
4.527651,-0.912952548
4.555428,-0.91170604
4.583205,-0.911281971
4.610982,-0.911766727
4.638759,-0.912628936
4.666536,-0.913271038
4.694313,-0.913102913
4.72209,-0.911935313
4.749867,-0.910175504
4.777644,-0.908279271
4.805421,-0.90669716
4.833198,-0.905704625
4.860975,-0.905364971
4.888752,-0.90572876
4.916529,-0.906838558
4.944306,-0.908556656
4.972083,-0.910567128
4.99986,-0.912546455
5.027637,-0.914182321
5.055414,-0.915342367
5.083191,-0.916039379
5.110968,-0.916290276
5.138745,-0.916114526
5.166522,-0.915561882
