Points,Data
8.27777546,1.105834695
8.30555323,1.105869994
8.333331,1.105957102
8.36110877,1.106033825
8.38888654,1.106062506
8.41666431,1.106056654
8.44444208,1.106036178
8.47221985,1.106020991
8.49999762,1.106026056
8.52777539,1.106041723
8.55555316,1.106050701
8.58333093,1.106035694
8.6111087,1.10598219
8.63888647,1.105912647
8.66666424,1.105875773
8.69444201,1.105920835
8.72221978,1.106097114
8.74999755,1.106454646
8.77777532,1.10704464
8.80555309,1.107918406
8.83333086,1.10912725
8.86110863,1.110665648
8.8888864,1.112324612
8.91666417,1.113849636
8.94444194,1.114986217
8.97221971,1.115515538
8.99999748,1.115539755
9.02777525,1.115330779
9.05555302,1.115162064
9.08333079,1.115300967
9.11110856,1.115828964
9.13888633,1.116612052
9.1666641,1.117504173
9.19444187,1.118359388
9.22221964,1.119088004
9.24999741,1.11974633
9.27777518,1.120414058
9.30555295,1.121170878
9.33333072,1.122070663
9.36110849,1.123004286
9.38888626,1.12379918
9.41666403,1.124282637
9.4444418,1.124291019
9.47221957,1.123825235
9.49999734,1.123029466
9.52777511,1.122052685
9.55555288,1.121043552
9.58333065,1.120115626
9.61110842,1.119315444
9.63888619,1.118682003
9.66666396,1.118254299
9.69444173,1.118054715
9.7222195,1.118030571
9.74999727,1.118107996
9.77777504,1.118213122
9.80555281,1.11827689
9.83333058,1.118287034
9.86110835,1.118268319
9.88888612,1.118246147
9.91666389,1.118245486
9.94444166,1.118270471
9.97221943,1.118295628
9.9999972,1.118293221
10.02777497,1.118235523
10.05555274,1.118117845
10.08333051,1.118010493
10.11110828,1.117999003
10.13888605,1.118168913
10.16666382,1.118592797
10.19444159,1.119238415
10.22221936,1.120022773
10.24999713,1.120862541
10.2777749,1.121676183
10.30555267,1.12242854
10.33333044,1.123133897
10.36110821,1.123808945
10.38888598,1.124470375
10.41666375,1.125134843
10.44444152,1.125818926
10.47221929,1.126539186
10.49999706,1.127312188
10.52777483,1.128143122
10.5555526,1.128972143
10.58333037,1.129716335
10.61110814,1.13029275
10.63888591,1.130624019
10.66666368,1.130721363
10.69444145,1.130666926
10.72221922,1.130544845
10.74999699,1.130438827
10.77777476,1.130396284
10.80555253,1.130401114
10.8333303,1.130430808
10.86110807,1.130462856
10.88888584,1.130479363
10.91666361,1.130481376
10.94444138,1.130474799
10.97221915,1.130465535
10.99999692,1.130459096
11.02777469,1.130456875
11.05555246,1.130457801
11.08333023,1.130460767
11.111108,1.130464664
11.13888577,1.130468226
11.16666354,1.130469987
11.19444131,1.130468466
11.22221908,1.130462182
11.24999685,1.130451543
11.27777462,1.13044255
11.30555239,1.130442233
11.33333016,1.130457623
11.36110793,1.130492829
11.3888857,1.13053068
11.41666347,1.130544576
11.44444124,1.130507879
11.47221901,1.130396696
11.49999678,1.130248181
11.52777455,1.13015935
11.55555232,1.130229736
11.58333009,1.130558494
11.61110786,1.131175315
11.63888563,1.131959468
11.6666634,1.132770554
